ResultNumber,Consent,Appeal,Trust,Usage,Likes,Dislikes,Reccomended,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,UserID,Start Date,Start Time,Finish Date,Finish Time,Average Time,Interface,Activity level,Agegroup,Children,Country,Deotype,DeoUser,Deofreq,Gender,Sweating,Benefit
1,1,3,4,4,It has a cooling sensation which is always a good feeling. It keeps you fresh no matter the weather so in a way it adjusts to the climate.,Dont dislike anything.,I wouldnt change anything.,5,5,5,5,5,1,1,1,1,1,7,7,6,7,6,5335624,06-08-2020,12:48,06-08-2020,12:53,28.08333333,mobile,Once a week,25 - 34 years,I don’t have any children,South Africa,Aerosol Spray,Yes,I use it multiple times a day,Female,Normal sweater,It cares for my skin
2,1,3,3,3,It's having a picture,It's not that appealing,The way representation,5,4,4,3,5,3,1,2,1,4,7,5,4,4,6,7618528,06-08-2020,12:48,06-08-2020,12:53,26.08333333,mobile,3+ times a week,18 - 24 years,I don’t have any children,India,Roll-on,No,I rarely / never use deodorant,Female,Anxious sweater,"It's free from (aluminium, chemical or fragrance)"
3,1,1,3,1,Nothing,sound unnatural. ,Na,4,2,2,1,2,2,2,2,5,2,4,5,5,1,4,6908089,06-08-2020,12:50,06-08-2020,12:54,22.08333333,mobile,Once a week,35 - 44 years,I don’t have any children,US,Stick,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
4,1,4,4,4,The cooling ingredients,N/a,N/a,3,4,4,5,5,1,1,1,1,1,5,7,7,7,7,8640140,06-08-2020,12:53,06-08-2020,13:02,49.08333333,desktop,Twice a week,25 - 34 years,One,Philippines,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against wetness
5,1,5,5,5,Cooling sensation ,None,No I would not,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,5335764,06-08-2020,12:54,06-08-2020,13:00,31.33333333,mobile,3+ times a week,35 - 44 years,Two,South Africa,Aerosol Spray,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
6,1,5,5,5,I love the ice cube encaps giving deodorant the extra coolness. The scenario is just made for me.,Nothing to dislike,No nothing to change,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,6879209,06-08-2020,13:02,06-08-2020,13:07,26.58333333,mobile,3+ times a week,45 - 54 years,One,UK,Aerosol Spray,Yes,I use it multiple times a day,Female,Light sweater,It prevents / controls against wetness
7,1,4,4,4,The cooling effects of the product and giving fresh to the body,How hard to use the product,Nothing if the product is easy to use,1,5,5,5,5,5,1,1,1,1,1,7,7,7,7,8640668,06-08-2020,13:08,06-08-2020,13:19,54.5,desktop,3+ times a week,18 - 24 years,I don’t have children under the age of 18,Philippines,I don't use any,No,I rarely / never use deodorant,Female,Light sweater,I don't use any
8,1,5,3,5,In the car I always sweat so to be able to arrive at my destination or appointment feeling fresh & not having odour will give me confidence. A product that allows me to go on as normal without sweat worries would be great.,N/A but I would be concerned about price & whether it is cruelty free,"Maybe the ""Ice Cube Encaps"" part. It doesn't make me think of anti perspirant but nothing else",4,3,2,5,5,2,3,1,1,1,5,3,5,7,7,5362755,06-08-2020,13:15,06-08-2020,13:25,50,mobile,Never,25 - 34 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
9,1,5,4,5,"However hot and humid the environment maybe, but the deodorant would make you feel comfortable. This is very necessary and important for our daily lives. ",Depending upon the price this product would be marketed at. Otherwise all is well with the product. ,Nothing ,3,4,4,5,5,3,1,3,1,1,5,7,6,7,7,7719442,06-08-2020,13:17,06-08-2020,13:26,42.33333333,mobile,Once a week,65 years +,One,India,Stick,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
10,1,3,2,1,nothing,I don't need my armpits to be cooled - and I don't use an antiperserent,This just isnt for me.,3,1,3,1,4,3,5,3,5,3,1,1,1,1,6,8585656,06-08-2020,13:18,06-08-2020,13:21,16.58333333,desktop,Twice a week,25 - 34 years,I don’t have any children,US,Stick,Yes,I use it at least once a day,Female,Normal sweater,"It's free from (aluminium, chemical or fragrance)"
11,1,5,4,5,How it releases cooling ingredients when it senses your body temperature and keeps you fresh,n/a,What happens when you are sick and hot?,4,4,5,5,5,2,2,2,1,1,4,6,7,7,6,5442731,06-08-2020,13:19,06-08-2020,13:25,28.75,desktop,Less often,35 - 44 years,Two,Australia,Aerosol Spray,Yes,"I use it most days, but not every day",Female,Normal sweater,"It's free from (aluminium, chemical or fragrance)"
12,1,5,5,5,The on-demand cooling sensation ...when the product releases cooling ingredients activated by my body temperature.,n/a,n/a,2,5,5,5,5,2,1,1,1,1,3,7,7,7,7,5335208,06-08-2020,13:21,06-08-2020,13:32,54.75,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It does not cause white marks / stains on skin or clothes
13,1,5,4,5,The fact that it would cool me down based on when my body got hot,nothing ,nothing ,1,5,5,4,5,5,1,1,1,1,1,7,7,6,7,5431965,06-08-2020,13:25,06-08-2020,13:29,20.83333333,mobile,Less often,35 - 44 years,I don’t have any children,US,Soft solid (clinical),Yes,I use it multiple times a day,Female,Heavy sweater,
14,1,4,4,3,Future tech advantages ,Possible harmful ingredients ,not sure without knowing ingredients list,5,4,4,5,5,2,2,2,1,2,6,5,6,7,6,5337899,06-08-2020,13:34,06-08-2020,13:37,17.41666667,mobile,Twice a week,35 - 44 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Male,Anxious sweater,It’s natural / contains natural ingredients
15,1,4,5,5,On the go sweat protection,None,None,5,5,5,5,5,4,1,1,1,1,6,7,7,7,6,7763498,06-08-2020,13:35,06-08-2020,13:43,35.75,mobile,3+ times a week,35 - 44 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Male,Anxious sweater,It prevents / controls against odour
